level 1 category,level 2 category,level 3 category,attribute,valid attribute values
Home and Decor,Pet Supplies,Waste Disposal,Product Type,Biodegradable Waste Bags;Dispenser with Biodegradable Waste Bags;Dispenser with Waste Bag;Disposable Pet Waste Bags;Disposable Pet Waste Pads;Dog Poop Jaw Scoop;Dog Waste Bag Dispenser;Dog Waste Container and Triple Bag Dispenser;Dog Waste Garbage Can;Dog Waste Pick Up Tool;Duty Bag Dispenser;Flashlight and Doggie Bag Dispenser;Mounting Post Rain Caps;Pedestal Post Base;Pee-Pod with Wee Sponge;Portable Pet Potty;Portable Pet Potty Accessory;Puppy Training Pads;Recyclable Waste Bags;Replacement Grass;Tailgate Dumpster;Telescopic Mounting Post;Training Pads;Trash Recepticle;Walking Pet Waste Pouch;Waste Bag/Treat Dispenser;Water Pucks;Wetness and Odor Elimination Pads
Home and Decor,Pet Supplies,Waste Disposal,Number in Package,
Home and Decor,Pet Supplies,Waste Disposal,Length,
Home and Decor,Pet Supplies,Waste Disposal,Width,
Home and Decor,Pet Supplies,Waste Disposal,Height,
Home and Decor,Pet Supplies,Waste Disposal,Color,Assorted;Beige;Black;Black/Green;Black/Silver;Blue;Blue/Orange;Blue/White;Brown;Gray;Green;Multicolored;Orange;Pink;Purple;Silver;White
Home and Decor,Small Appliances,Blenders,Brand Name,
Home and Decor,Small Appliances,Blenders,Sub Brand,
Home and Decor,Small Appliances,Blenders,Color,Black;Black/Clear;Black/Silver;Blue;Champagne;Clear/Gray;Gold;Gray;Green;Pink;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Blenders,Base Material,Aluminum;Die Cast Metal;Metal;Metal/Plastic;Nickel;Plastic;Stainless Steel
Home and Decor,Small Appliances,Blenders,Product Type,Blender;Blender and Food Processor;Blender and Juicer;Chopper;Hand Blender;Hand Blender and Chopper;Hand Blender/Mixing Cup;Immersion Blender/Chopper;Nutrition Blender Set
Home and Decor,Small Appliances,Blenders,Capacity,
Home and Decor,Small Appliances,Blenders,Number of Speeds,
Home and Decor,Small Appliances,Blenders,ANSI Certified,No;Yes
Home and Decor,Small Appliances,Blenders,Automatic Delay Shutoff,No;Yes
Home and Decor,Small Appliances,Blenders,Nonslip Base,No;Yes
Home and Decor,Small Appliances,Blenders,Weighted Base,No;Yes
Home and Decor,Small Appliances,Blenders,Ice Crushing Button,No;Yes
Home and Decor,Small Appliances,Blenders,UL Listed,No;Yes
Home and Decor,Small Appliances,Blenders,Pulse Control,No;Yes
Home and Decor,Small Appliances,Blenders,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Blenders,CSA Listed,No;Yes
Home and Decor,Small Appliances,Blenders,Blade Material,Metal;Nickel;Stainless Steel
Home and Decor,Small Appliances,Blenders,Blender Jar Material,Glass;Plastic;Polycarbonate
Home and Decor,Small Appliances,Blenders,NSF Listed,No;Yes
Home and Decor,Small Appliances,Blenders,Watts,
Home and Decor,Small Appliances,Blenders,Volts,
Home and Decor,Small Appliances,Blenders,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;90 days Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Breadmakers,Brand Name,
Home and Decor,Small Appliances,Breadmakers,Sub Brand,
Home and Decor,Small Appliances,Breadmakers,Finish,Antique Brass;Bronze;Brushed;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Breadmakers,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Breadmakers,Exterior Material,Metal;Plastic;Stainless Steel
Home and Decor,Small Appliances,Breadmakers,Maximum Capacity,
Home and Decor,Small Appliances,Breadmakers,Product Type,Artisan Bread and Dough Maker;Breadmaker
Home and Decor,Small Appliances,Breadmakers,ETL Listed,No;Yes
Home and Decor,Small Appliances,Breadmakers,UL Listed,No;Yes
Home and Decor,Small Appliances,Breadmakers,CSA Listed,No;Yes
Home and Decor,Small Appliances,Breadmakers,Nonslip Base,No;Yes
Home and Decor,Small Appliances,Breadmakers,Cool Touch Exterior,No;Yes
Home and Decor,Small Appliances,Breadmakers,Nonstick Interior,No;Yes
Home and Decor,Small Appliances,Breadmakers,ANSI Certified,No;Yes
Home and Decor,Small Appliances,Breadmakers,Number of Temperature or Cooking Controls,
Home and Decor,Small Appliances,Breadmakers,Keep Warm Setting,No;Yes
Home and Decor,Small Appliances,Breadmakers,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Breadmakers,Delay Bake Option,No;Yes
Home and Decor,Small Appliances,Breadmakers,Transparent Lid,No;Yes
Home and Decor,Small Appliances,Breadmakers,Crust Color Control,No;Yes
Home and Decor,Small Appliances,Breadmakers,NSF Listed,No;Yes
Home and Decor,Small Appliances,Breadmakers,Watts,
Home and Decor,Small Appliances,Breadmakers,Volts,
Home and Decor,Small Appliances,Breadmakers,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Coffee and Tea Makers,Brand Name,
Home and Decor,Small Appliances,Coffee and Tea Makers,Sub Brand,
Home and Decor,Small Appliances,Coffee and Tea Makers,Capacity,
Home and Decor,Small Appliances,Coffee and Tea Makers,Color,Assorted;Big Sky Blue;Black;Black Forest Green;Black Stone;Black/Clear;Black/Copper;Black/Green;Black/Silver;Black/White;Blue;Blue/Clear;Blue/White;Brown;Charcoal;Cherry Blossom;Clear;Clear/White;Color Changing;Cream;Firefly Yellow;Gray;Green;Ivory;Key Lime;Maroon;Moondust;Navy;Orange;Pink;Red;Red/Silver;Rescue Red;Sandstone Pink;Silver;Teal;Turquoise;Ultramarine Violet;Wetlands Camo;White;Wild Vine Red
Home and Decor,Small Appliances,Coffee and Tea Makers,Product Type,Cappuccino/Espresso Maker;Coffee;Coffee & Espresso Maker;Coffee and Tea Brewer;Coffee Boiler;Coffee Maker;Coffee Press;Coffee Urn;Cold Brew Coffee Maker;Cold Brew Coffee Pitcher;Cold Brew Travel Coffee Maker;Cold Brew/Hot Coffee Maker;Commercial Coffee Brewer;Deluxe Tumbler and Brewer;Electric Gooseneck Kettle;Electric Kettle;Espresso Maker;French Press;French Press and Milk Frother;Grind and Brew Coffee Maker;Hot Water Dispenser;Iced Tea Maker;Iced Tea Maker Replacement Pitcher;Instant Immersion Heater;LED Electric Kettle;Manual Drip Coffee Maker;Percolator;Pour-Over Cofee Brewer Set;Pour-Over Coffee Brewer;Replacement Carafe;Single Serve Coffee Maker;Sparkling Water Maker;Sparkling Water Maker Kit;Stovetop Espresso Maker;Stovetop Percolator;Tea Maker
Home and Decor,Small Appliances,Coffee and Tea Makers,Water Filtration,No;Yes
Home and Decor,Small Appliances,Coffee and Tea Makers,Programmable,No;Yes
Home and Decor,Small Appliances,Coffee and Tea Makers,Automatic Delay Shutoff,No;Yes
Home and Decor,Small Appliances,Coffee and Tea Makers,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Coffee and Tea Makers,Material,Aluminium;Glass;Glass/Plastic;Glass/Stainless Steel;Plastic;Stainless Steel;Steel
Home and Decor,Small Appliances,Coffee and Tea Makers,Width,
Home and Decor,Small Appliances,Coffee and Tea Makers,Built in Timer,No;Yes
Home and Decor,Small Appliances,Coffee and Tea Makers,Length,
Home and Decor,Small Appliances,Coffee and Tea Makers,Keep Warm Setting,No;Yes
Home and Decor,Small Appliances,Coffee and Tea Makers,Number in Package,
Home and Decor,Small Appliances,Coffee and Tea Makers,Packaging Type,Boxed
Home and Decor,Small Appliances,Coffee and Tea Makers,Filter Type,
Home and Decor,Small Appliances,Coffee and Tea Makers,Height,
Home and Decor,Small Appliances,Coffee and Tea Makers,Watts,
Home and Decor,Small Appliances,Coffee and Tea Makers,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Coffee Filters,Brand Name,
Home and Decor,Small Appliances,Coffee Filters,Sub Brand,
Home and Decor,Small Appliances,Coffee Filters,Number of Cups,
Home and Decor,Small Appliances,Coffee Filters,Color,Black;Black/Gold;Black/Gray;Black/Silver;Brown;Green/Red;Orange;Purple;Red;Silver;White
Home and Decor,Small Appliances,Coffee Filters,Shape,Bag;Basket;Circle;Cone;Disc;K Cup;K-Cup;Round;Square
Home and Decor,Small Appliances,Coffee Filters,Product Type,Borosilicate Coffee Filter;Carafe Filter;Coffee and Tea Filters;Coffee Filter;Gold Tone Coffee Filter;Junior Basket Coffee Filters;Pour-Over Coffee Filter;Replacement Filter;Reusable Capsule;Reusable Coffee Filter;Tea Filters;Water Impurity Filter
Home and Decor,Small Appliances,Coffee Filters,Number in Package,
Home and Decor,Small Appliances,Coffee Filters,Size,
Home and Decor,Small Appliances,Coffee Filters,Material,Bamboo;Cloth;Glass;Natural Brown Paper;Nylon;Nylon Mesh;Paper;Plastic;Polyester;Polypropylene;Stainless Steel
Home and Decor,Small Appliances,Coffee Filters,Brand or Model Compatibility,
Home and Decor,Small Appliances,Coffee Filters,Reusable,No;Yes
Home and Decor,Small Appliances,Coffee Grinders,Brand Name,
Home and Decor,Small Appliances,Coffee Grinders,Sub Brand,
Home and Decor,Small Appliances,Coffee Grinders,Finish,Antique Brass;Bronze;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Coffee Grinders,Color,Assorted;Beige;Black;Black/Silver;Blue;Brown;Clear;Gray;Green;Ivory;Metallic;Multicolored;Orange;Pink;Purple;Red;White;Yellow
Home and Decor,Small Appliances,Coffee Grinders,Material,Aluminum;Ceramic;Chrome;Copper;Glass;Glass/Stainless Steel;Plastic;Plastic/Steel;Porcelain;Stainless Steel;Steel
Home and Decor,Small Appliances,Coffee Grinders,Capacity,
Home and Decor,Small Appliances,Coffee Grinders,Product Type,Coffee and Spice Grinder;Coffee Grinder
Home and Decor,Small Appliances,Coffee Grinders,UL Listed,No;Yes
Home and Decor,Small Appliances,Coffee Grinders,Automatic Delay Shutoff,No;Yes
Home and Decor,Small Appliances,Coffee Grinders,Blade Type,Burr Grinding Wheel;Burr Plates;Stainless Steel
Home and Decor,Small Appliances,Coffee Grinders,Watts,
Home and Decor,Small Appliances,Coffee Grinders,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Coffee Maker Accessories,Brand Name,
Home and Decor,Small Appliances,Coffee Maker Accessories,Sub Brand,
Home and Decor,Small Appliances,Coffee Maker Accessories,Color,Assorted;Beige;Black;Black/Blue;Black/Gray;Black/Silver;Blue;Brown;Clear;Gray;Green;Ivory;Metallic;Multicolored;Orange;Pink;Purple;Red;Silver;Turquoise;White;Yellow
Home and Decor,Small Appliances,Coffee Maker Accessories,Material,ABS Plastic/Stainless Steel;Ceramic;Glass;Plastic;Stainless Steel;Steel;Wood
Home and Decor,Small Appliances,Coffee Maker Accessories,Product Type,Airpot;Beaker;Beverage Dispenser;Brewer Maintenance Kit;Capsule Filler Kit;Carafe;Carafe With Glass Liner;Carbonator Bottle;Carrying Case;Coffee Canister;Coffee Filter Separator;Coffee Pot;Coffee Pot Mug;Coffee Press;Coffee Stirrers;Descaling Solution;Disposable Cup Filters;Espresso Tower;French Press Spare;Glass Lined Carafe;Insulated Carafe;K-Cup Carousel;K-Cup Carrying Case;K-Cup Storage Drawer;Milk Frother;Moscow Mule Mug;Moscow Mule Shot Mug;Pitcher;Pod Carousel;Refillable Coffee Capsules;Scoop/Funnel;Stainless Steel Lined Carafe;Stirrer/Timer;Warmer;Warmer with Lid;Warmer with Mug
Home and Decor,Small Appliances,Coffee Maker Accessories,Number in Package,
Home and Decor,Small Appliances,Coffee Maker Accessories,Capacity,
Home and Decor,Small Appliances,Egg Cookers,Brand Name,
Home and Decor,Small Appliances,Egg Cookers,Sub Brand,
Home and Decor,Small Appliances,Egg Cookers,Finish,Antique Brass;Bronze;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Egg Cookers,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Egg Cookers,Product Type,Egg Bite Maker;Egg Cooker;Microwave Egg Cooker
Home and Decor,Small Appliances,Egg Cookers,Watts,
Home and Decor,Small Appliances,Egg Cookers,Volts,
Home and Decor,Small Appliances,Egg Cookers,Material,Plastic;Stainless Steel
Home and Decor,Small Appliances,Egg Cookers,Built in Timer,No;Yes
Home and Decor,Small Appliances,Egg Cookers,Cool Touch Exterior,No;Yes
Home and Decor,Small Appliances,Egg Cookers,Egg Capacity,
Home and Decor,Small Appliances,Egg Cookers,ETL Listed,No;Yes
Home and Decor,Small Appliances,Egg Cookers,Poaching Tray,No;Yes
Home and Decor,Small Appliances,Egg Cookers,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Egg Cookers,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Electric Can Openers,Brand Name,
Home and Decor,Small Appliances,Electric Can Openers,Sub Brand,
Home and Decor,Small Appliances,Electric Can Openers,Finish,Antique Brass;Bronze;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Electric Can Openers,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Electric Can Openers,Volts,
Home and Decor,Small Appliances,Electric Can Openers,Product Type,Electric Can Opener
Home and Decor,Small Appliances,Electric Can Openers,Magnetic Lid Holder,No;Yes
Home and Decor,Small Appliances,Electric Can Openers,Automatic Delay Shutoff,No;Yes
Home and Decor,Small Appliances,Electric Can Openers,Bottle Opener,No;Yes
Home and Decor,Small Appliances,Electric Can Openers,Housing Material,Plastic;Stainless Steel
Home and Decor,Small Appliances,Electric Can Openers,UL Listed,No;Yes
Home and Decor,Small Appliances,Electric Can Openers,Cord Storage,No;Yes
Home and Decor,Small Appliances,Electric Can Openers,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Electric Knives,Brand Name,
Home and Decor,Small Appliances,Electric Knives,Sub Brand,
Home and Decor,Small Appliances,Electric Knives,Blade Material,Stainless Steel
Home and Decor,Small Appliances,Electric Knives,Blade Length,
Home and Decor,Small Appliances,Electric Knives,Product Type,Electric Knife
Home and Decor,Small Appliances,Electric Knives,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Electric Knives,Housing Material,Plastic;Wood
Home and Decor,Small Appliances,Electric Knives,Safeguard Guides,No;Yes
Home and Decor,Small Appliances,Electric Knives,Watts,
Home and Decor,Small Appliances,Electric Knives,Volts,
Home and Decor,Small Appliances,Electric Knives,Color,Assorted;Beige;Black;Blue;Brown;Clear;Gray;Green;Ivory;Metallic;Multicolored;Orange;Pink;Purple;Red;White;Yellow
Home and Decor,Small Appliances,Electric Knives,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Electric Pizza Ovens,Brand Name,
Home and Decor,Small Appliances,Electric Pizza Ovens,Sub Brand,
Home and Decor,Small Appliances,Electric Pizza Ovens,Finish,Antique Brass;Bronze;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Electric Pizza Ovens,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Electric Pizza Ovens,Product Type,Electric Pizza Oven
Home and Decor,Small Appliances,Electric Pizza Ovens,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,Automatic Delay Shutoff,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,Nonstick Interior,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,Built in Timer,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,UL Listed,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,Self Cleaning,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,Temperature Control,No;Yes
Home and Decor,Small Appliances,Electric Pizza Ovens,Volts,
Home and Decor,Small Appliances,Electric Pizza Ovens,Watts,
Home and Decor,Small Appliances,Electric Pizza Ovens,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Fondue Pots,Finish,Antique Brass;Bronze;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Fondue Pots,Brand Name,
Home and Decor,Small Appliances,Fondue Pots,Sub Brand,
Home and Decor,Small Appliances,Fondue Pots,Color,Black;Black/Silver;Blue;Orange;Red;Silver;White
Home and Decor,Small Appliances,Fondue Pots,Capacity,
Home and Decor,Small Appliances,Fondue Pots,Material,Cast Iron;Ceramic;Stainless Steel;Titanium
Home and Decor,Small Appliances,Fondue Pots,Product Type,Chocolate Fountain;Chocolate Melting Pot;Fondue and Butter Warmer Set;Fondue Burner;Fondue Set;Fondue/S'mores Maker;Fondue/S'mores/Treat Maker;Grill and Fondue Set;Rechaud;S'mores Roaster
Home and Decor,Small Appliances,Fondue Pots,Number of Fondue Forks,
Home and Decor,Small Appliances,Fondue Pots,ETL Listed,No;Yes
Home and Decor,Small Appliances,Fondue Pots,Nonstick Interior,No;Yes
Home and Decor,Small Appliances,Fondue Pots,UL Listed,No;Yes
Home and Decor,Small Appliances,Fondue Pots,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Fondue Pots,CSA Listed,No;Yes
Home and Decor,Small Appliances,Fondue Pots,Adjustable Thermostat,No;Yes
Home and Decor,Small Appliances,Fondue Pots,Watts,
Home and Decor,Small Appliances,Fondue Pots,Volts,
Home and Decor,Small Appliances,Fondue Pots,Power Source,Plug-In
Home and Decor,Small Appliances,Food Dehydrators,Brand Name,
Home and Decor,Small Appliances,Food Dehydrators,Sub Brand,
Home and Decor,Small Appliances,Food Dehydrators,Finish,Brushed Nickel;Chrome;Galvanized;Gloss;Matte;Natural;Polished Chrome;Satin Nickel;Semi-Gloss
Home and Decor,Small Appliances,Food Dehydrators,Color,Black;Black/Silver;Blue;Clear;Gray;Silver;White
Home and Decor,Small Appliances,Food Dehydrators,Capacity,
Home and Decor,Small Appliances,Food Dehydrators,Product Type,Clean-A-Screen;Food Dehydrator;Food Dehydrator Tray;Freeze Dryer
Home and Decor,Small Appliances,Food Dehydrators,UL Listed,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,Material,Aluminum;Chrome;Copper;Glass;Metal;Plastic;Porcelain;Stainless Steel;Steel
Home and Decor,Small Appliances,Food Dehydrators,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,Number of trays,10;2;3;4;5;6;7;8;9
Home and Decor,Small Appliances,Food Dehydrators,ANSI Certified,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,NSF Listed,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,ETL Listed,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,Watts,
Home and Decor,Small Appliances,Food Dehydrators,Volts,
Home and Decor,Small Appliances,Food Dehydrators,Adjustable Thermostat,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,Bag Cutter,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,Energy Star Certified,No;Yes
Home and Decor,Small Appliances,Food Dehydrators,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Food Mixers,Brand Name,
Home and Decor,Small Appliances,Food Mixers,Sub Brand,
Home and Decor,Small Appliances,Food Mixers,Color,Aqua Sky;Black;Black/Clear;Black/Clear/Red;Black/Silver;Candy Apple Red;Clear/Green;Dark Pewter;Empire Red;Metallic Chrome;Mint;Onyx Black;Pearl;Pewter;Purple;Raspberry Ice;Red;Silver;Silver/White;Sugar Pearl;Teal;White;Wineberry
Home and Decor,Small Appliances,Food Mixers,Capacity,10;3;4.5;4.7;5;5.5;6;7.4
Home and Decor,Small Appliances,Food Mixers,Number of Speeds,1;10;12;2;20;3;5;6;7
Home and Decor,Small Appliances,Food Mixers,Mixer Type,Hand;Stand
Home and Decor,Small Appliances,Food Mixers,Product Type,Food Mixer;Hog Ring Pliers;Mixer;Mixer with Dispenser;Pumpkin Screen;Tumbler Mixer;Vertical Sausage Stuffer
Home and Decor,Small Appliances,Food Mixers,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Food Mixers,NSF Listed,No;Yes
Home and Decor,Small Appliances,Food Mixers,UL Listed,No;Yes
Home and Decor,Small Appliances,Food Mixers,Attachments Included,No;Yes
Home and Decor,Small Appliances,Food Mixers,ETL Listed,No;Yes
Home and Decor,Small Appliances,Food Mixers,Housing Material,Metal;Metal/ Plastic;Plastic;Stainless Steel
Home and Decor,Small Appliances,Food Mixers,Work Bowl Material,Glass;Metal;Stainless Steel
Home and Decor,Small Appliances,Food Mixers,Speed Control,No;Yes
Home and Decor,Small Appliances,Food Mixers,Color Family,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Food Mixers,Watts,
Home and Decor,Small Appliances,Food Mixers,Volts,
Home and Decor,Small Appliances,Food Mixers,Energy Star Certified,No;Yes
Home and Decor,Small Appliances,Food Mixers,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
Home and Decor,Small Appliances,Food Processors,Brand Name,
Home and Decor,Small Appliances,Food Processors,Sub Brand,
Home and Decor,Small Appliances,Food Processors,Finish,Antique Brass;Bronze;Brushed Nickel;Burnished;Chrome;Galvanized;Gloss;Matte;Natural;Oil Rubbed Bronze;Polished Chrome;Rustic;Satin Nickel;Semi-Gloss;Super-Gloss;Weathered
Home and Decor,Small Appliances,Food Processors,Color,Assorted;Black;Black/Clear;Black/Silver;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
Home and Decor,Small Appliances,Food Processors,Capacity,
Home and Decor,Small Appliances,Food Processors,Product Type,Electric Yogurt Maker;Food Chopper;Food Processor;Meat Saw
Home and Decor,Small Appliances,Food Processors,Watts,
Home and Decor,Small Appliances,Food Processors,Weighted Base,No;Yes
Home and Decor,Small Appliances,Food Processors,NSF Listed,No;Yes
Home and Decor,Small Appliances,Food Processors,Number of Speeds,
Home and Decor,Small Appliances,Food Processors,Locking Lid,No;Yes
Home and Decor,Small Appliances,Food Processors,Dishwasher Safe Parts,No;Yes
Home and Decor,Small Appliances,Food Processors,Work Bowl Material,Chrome;Die Cast;Glass;Plastic;Stainless Steel
Home and Decor,Small Appliances,Food Processors,Blade Material,Aluminum;Chrome;Stainless Steel
Home and Decor,Small Appliances,Food Processors,ETL Listed,No;Yes
